Overall Place,Overall Score,UID,Name,Place - Event 1,Place - Event 2,Place - Event 3,Place - Event 4,Place - Event 5,Score - Event 1,Score - Event 2,Score - Event 3,Score - Event 4,Score - Event 5
1,35,77,"Invictus",16, 13, 1, 4, 1,1078, 1999, 1666, 636, 1014
2,43,1477,"Diablo CrossFit Anejo",6, 2, 23, 10, 2,1104, 2052, 1563, 625, 910
3,50,113,"Valley CrossFit",5, 5, 8, 3, 29,1104, 2034, 1580, 637, 785
4,52,14,"Hacks Pack UTE",8, 11, 13, 12, 8,1099, 2003, 1571, 624, 869
5,56,1047,"NorCal CrossFit",10, 11, 2, 9, 24,1096, 2003, 1629, 628, 798
6,59,105,"Front Range CrossFit",9, 38, 6, 2, 4,1096, 1953, 1587, 642, 902
7,67,472,"CrossFit Milford",1, 4, 45, 5, 12,1120, 2035, 1549, 632, 834
8,93,1747,"Brick Nation",26, 8, 11, 30, 18,1064, 2012, 1572, 609, 812
9,105,3826,"Shoreline Crossfit",3, 14, 50, 1, 37,1112, 1994, 1547, 658, 764
10,122,281,"Intensify Team A",28, 15, 16, 43, 20,1062, 1990, 1567, 601, 810
10,122,452,"CrossFit RX",20, 25, 31, 13, 33,1069, 1969, 1557, 623, 778
12,127,66,"CrossFit Fort Vancouver",15, 36, 37, 24, 15,1078, 1954, 1551, 612, 818
13,135,1687,"CrossFit OKC",54, 6, 42, 20, 13,1044, 2018, 1550, 617, 828
14,136,1407,"CrossFit Paragon",56, 44, 4, 21, 11,1043, 1943, 1599, 616, 838
15,140,382,"CrossFit 515",14, 3, 67, 13, 43,1079, 2044, 1542, 623, 757
16,146,1140,"CrossFit Kilo",44, 1, 30, 22, 49,1050, 2079, 1558, 615, 746
17,161,1537,"Team Dynamix",12, 42, 49, 22, 36,1086, 1944, 1548, 615, 765
18,166,778,"Rocklin CrossFit",7, 80, 62, 7, 10,1101, 1912, 1542, 631, 842
18,166,1935,"CrossFit Mayhem",19, 69, 7, 29, 42,1070, 1917, 1582, 610, 759
20,174,841,"CrossFit Bellator",24, 39, 47, 13, 51,1065, 1948, 1549, 623, 745
21,177,464,"CrossFit Maximus",13, 58, 39, 8, 59,1080, 1930, 1551, 630, 730
22,186,881,"CrossFit Reykjavík",2, 23, 17, 27, 117,1112, 1976, 1567, 611, 681
23,195,25,"CrossFit Omaha",73, 24, 57, 38, 3,1034, 1972, 1545, 605, 904
24,206,1408,"CFNE Team A",4, 157, 35, 5, 5,1110, 1880, 1553, 632, 899
25,207,771,"CrossFit 808",37, 56, 61, 36, 17,1056, 1931, 1542, 606, 814
26,217,546,"CrossFit Springfield",50, 21, 22, 24, 100,1045, 1978, 1564, 612, 693
27,220,1711,"CrossFit West",63, 86, 12, 13, 46,1040, 1910, 1572, 623, 750
